unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
MIO_EUR,AT	-4078.7 	-11534.5 	-6351.3 	-6658.4 	-3717.1 	-4228.6 	-15217.7 	-13104.4 	-7907.4 	-6918.8 	-4144.3 	-7916.3 
MIO_EUR,BE	-4941.9 	-570.8 	-8113.1 	816.1 	156.3 	-3858.8 	-19108.8 	-14543.5 	-15546.7 	-16073.0 	-11534.2 	-13057.4 
MIO_EUR,BG	-73.4 	378.9 	242.4 	495.7 	357.2 	591.4 	-1513.8 	-1190.3 	-812.8 	-267.0 	-355.0 	-1194.9 
MIO_EUR,CY	-759.7 	-513.3 	-325.9 	-166.9 	566.0 	164.8 	-1014.6 	-911.6 	-1122.1 	-1129.7 	-890.7 	-1543.5 
MIO_EUR,CZ	-5631.7 	-2599.4 	-3403.2 	-2790.2 	-958.1 	-3391.7 	-8180.0 	-6902.3 	-4427.0 	-6278.1 	-1817.0 	-3070.8 
MIO_EUR,DE	-90284.0 	-83118.0 	-74957.0 	-37018.0 	7778.0 	-541.0 	-74518.0 	-104822.0 	-23272.0 	2606.0 	4172.0 	19422.6 
MIO_EUR,DK	-257.4 	4196.6 	10546.0 	11247.5 	11716.9 	7668.6 	-6471.5 	-6590.4 	-5095.7 	-9194.6 	-2684.9 	3211.6 
MIO_EUR,EA17	: 	: 	: 	: 	: 	: 	: 	: 	-402209.1 	-353859.6 	-285250.9 	-245286.8 
MIO_EUR,EA18	: 	: 	: 	: 	: 	: 	: 	: 	-402884.0 	-354036.1 	-285423.3 	-245633.8 
MIO_EUR,EA19	: 	: 	: 	: 	: 	: 	: 	: 	-405679.9 	-355085.1 	-286340.2 	-245875.8 
MIO_EUR,EE	155.9 	230.6 	128.1 	396.5 	408.0 	-438.8 	-306.6 	27.2 	195.1 	-38.5 	-40.0 	121.3 
MIO_EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	-21221.0 	-16871.0 	-22498.0 	-6356.0 
MIO_EUR,ES	-2960.0 	-364.0 	11229.0 	22144.0 	21620.0 	-49385.0 	-118237.0 	-101445.0 	-101265.0 	-108903.0 	-71291.0 	-61391.0 
MIO_EUR,EU27	: 	: 	: 	: 	: 	: 	: 	: 	-589800.3 	-565082.8 	-434487.2 	-399392.9 
MIO_EUR,EU28	: 	: 	: 	: 	: 	: 	: 	: 	-593166.1 	-567409.9 	-436819.0 	-401861.2 
MIO_EUR,FI	3701.0 	3499.0 	4260.0 	6781.0 	9570.0 	8090.0 	-4583.0 	-4904.0 	-1999.0 	-4240.0 	-5122.0 	-6435.0 
MIO_EUR,FR	-63195.9 	-59687.7 	-56089.2 	-43400.3 	-49491.7 	-63532.9 	-138878.0 	-135795.0 	-104961.0 	-100448.0 	-86397.0 	-84839.0 
MIO_EUR,HR	-1379.8 	-1678.8 	-1334.7 	-1299.0 	-1053.9 	-1310.6 	-2602.6 	-2663.3 	-3365.8 	-2327.1 	-2331.9 	-2468.4 
MIO_EUR,HU	-5370.1 	-5304.4 	-7079.4 	-8522.9 	-5145.4 	-3912.0 	-4298.3 	-4444.3 	-5504.9 	-2279.3 	-2471.5 	-2648.6 
MIO_EUR,IE	1090.3 	2169.6 	2181.3 	5194.8 	535.8 	-13103.5 	-23440.2 	-53677.2 	-21803.7 	-14065.0 	-10152.4 	-7629.2 
MIO_EUR,IT	-47473.0 	-51662.0 	-62172.0 	-55549.0 	-24571.0 	-43936.0 	-82881.0 	-68121.0 	-57154.0 	-48310.0 	-47455.0 	-49056.0 
MIO_EUR,LT	: 	-253.9 	-72.1 	-65.5 	-236.8 	-1008.1 	-2452.6 	-1934.1 	-2795.9 	-1049.0 	-916.9 	-242.0 
MIO_EUR,LU	141.2 	-294.3 	48.3 	464.5 	1517.0 	1228.9 	-194.7 	-213.0 	165.7 	55.9 	388.0 	289.0 
MIO_EUR,LV	-162.5 	-119.8 	-55.7 	-95.2 	-137.2 	-981.7 	-1685.2 	-1452.7 	-675.0 	-176.5 	-172.4 	-347.0 
MIO_EUR,MT	-435.8 	-213.4 	-138.7 	-140.8 	-129.8 	-255.3 	-201.9 	-214.5 	-177.8 	-263.6 	-194.4 	-168.3 
MIO_EUR,NL	-15405.0 	-9140.0 	-1514.0 	1081.0 	1075.0 	1239.0 	-33718.0 	-31866.0 	-27835.0 	-25330.0 	-14629.0 	-15035.0 
MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	48178.5 	54922.5 	44534.8 	34167.4 
MIO_EUR,PL	-11684.7 	-10558.5 	-9765.8 	-9812.4 	-5807.0 	-13202.6 	-23030.3 	-27468.4 	-18486.1 	-14441.4 	-15898.7 	-13202.0 
MIO_EUR,PT	-6462.5 	-9438.7 	-9826.6 	-7194.5 	-5279.4 	-6735.7 	-17203.6 	-20100.2 	-12967.5 	-9450.1 	-8180.9 	-7716.9 
MIO_EUR,RO	-786.2 	-744.3 	-923.6 	-2186.6 	-3632.5 	-7940.6 	-10677.3 	-8424.1 	-7126.6 	-3917.0 	-3146.8 	-2232.5 
MIO_EUR,SE	-3853.1 	1003.3 	5672.3 	7315.1 	11897.2 	6882.3 	-2222.3 	-107.6 	-320.4 	-3917.3 	-5989.8 	-8098.5 
MIO_EUR,SI	-688.8 	-545.0 	-389.7 	-380.1 	-31.1 	-537.3 	-2127.0 	-2044.2 	-2451.3 	-1444.6 	-5379.7 	-1819.3 
MIO_EUR,SK	-818.6 	-801.9 	-1124.5 	-1620.0 	-1077.8 	-1547.6 	-5056.0 	-5031.7 	-2886.5 	-3036.1 	-1902.4 	-2156.9 
MIO_EUR,UK	-58291.3 	-66394.1 	-68737.9 	-60108.8 	-64953.1 	-97488.3 	-180040.2 	-175748.4 	-142346.9 	-169702.9 	-115783.2 	-126281.4 
PC_GDP,AT	-1.8 	-4.8 	-2.5 	-2.5 	-1.3 	-1.4 	-5.3 	-4.5 	-2.6 	-2.2 	-1.3 	-2.4 
PC_GDP,BE	-1.8 	-0.2 	-2.6 	0.2 	0.0 	-1.1 	-5.5 	-4.0 	-4.1 	-4.1 	-2.9 	-3.2 
PC_GDP,BG	-0.4 	1.8 	1.0 	1.8 	1.1 	1.6 	-4.2 	-3.2 	-2.0 	-0.7 	-0.9 	-2.8 
PC_GDP,CY	-5.9 	-3.7 	-2.2 	-1.0 	3.3 	0.9 	-5.5 	-4.8 	-5.8 	-5.8 	-4.9 	-8.8 
PC_GDP,CZ	-6.4 	-2.7 	-3.1 	-2.3 	-0.7 	-2.1 	-5.5 	-4.4 	-2.7 	-3.9 	-1.2 	-2.0 
PC_GDP,DE	-4.1 	-3.7 	-3.3 	-1.5 	0.3 	0.0 	-3.0 	-4.1 	-0.9 	0.1 	0.1 	0.7 
PC_GDP,DK	-0.1 	2.1 	5.0 	5.0 	5.0 	3.2 	-2.8 	-2.7 	-2.1 	-3.7 	-1.1 	1.2 
PC_GDP,EA17	: 	: 	: 	: 	: 	: 	: 	: 	-4.1 	-3.6 	-2.9 	-2.4 
PC_GDP,EA18	: 	: 	: 	: 	: 	: 	: 	: 	-4.1 	-3.6 	-2.9 	-2.4 
PC_GDP,EA19	: 	: 	: 	: 	: 	: 	: 	: 	-4.1 	-3.6 	-2.9 	-2.4 
PC_GDP,EE	1.8 	2.4 	1.1 	2.9 	2.5 	-2.7 	-2.2 	0.2 	1.2 	-0.2 	-0.2 	0.6 
PC_GDP,EL	: 	: 	: 	: 	: 	: 	: 	: 	-10.2 	-8.7 	-12.3 	-3.5 
PC_GDP,ES	-0.4 	0.0 	1.2 	2.2 	2.0 	-4.4 	-11.0 	-9.4 	-9.4 	-10.3 	-6.8 	-5.8 
PC_GDP,EU27	: 	: 	: 	: 	: 	: 	: 	: 	-4.5 	-4.2 	-3.2 	-2.9 
PC_GDP,EU28	: 	: 	: 	: 	: 	: 	: 	: 	-4.5 	-4.2 	-3.2 	-2.9 
PC_GDP,FI	2.4 	2.2 	2.6 	3.9 	5.1 	4.2 	-2.5 	-2.6 	-1.0 	-2.1 	-2.5 	-3.2 
PC_GDP,FR	-3.9 	-3.5 	-3.2 	-2.3 	-2.5 	-3.2 	-7.2 	-6.8 	-5.1 	-4.8 	-4.1 	-4.0 
PC_GDP,HR	-4.5 	-5.0 	-3.7 	-3.2 	-2.4 	-2.7 	-5.8 	-5.9 	-7.5 	-5.3 	-5.4 	-5.7 
PC_GDP,HU	-7.2 	-6.4 	-7.9 	-9.4 	-5.1 	-3.7 	-4.6 	-4.5 	-5.5 	-2.3 	-2.5 	-2.6 
PC_GDP,IE	0.8 	1.4 	1.3 	2.8 	0.3 	-7.0 	-13.9 	-32.5 	-12.7 	-8.1 	-5.8 	-4.1 
PC_GDP,IT	-3.4 	-3.6 	-4.2 	-3.6 	-1.5 	-2.7 	-5.3 	-4.2 	-3.5 	-3.0 	-2.9 	-3.0 
PC_GDP,LT	: 	-1.4 	-0.3 	-0.3 	-0.8 	-3.1 	-9.1 	-6.9 	-8.9 	-3.1 	-2.6 	-0.7 
PC_GDP,LU	0.5 	-1.1 	0.2 	1.4 	4.2 	3.3 	-0.5 	-0.5 	0.4 	0.1 	0.9 	0.6 
PC_GDP,LV	-1.6 	-1.0 	-0.4 	-0.6 	-0.6 	-4.0 	-9.0 	-8.1 	-3.3 	-0.8 	-0.7 	-1.4 
PC_GDP,MT	-9.1 	-4.4 	-2.7 	-2.6 	-2.3 	-4.2 	-3.3 	-3.3 	-2.6 	-3.6 	-2.6 	-2.1 
PC_GDP,NL	-3.0 	-1.8 	-0.3 	0.2 	0.2 	0.2 	-5.5 	-5.0 	-4.3 	-4.0 	-2.3 	-2.3 
PC_GDP,NO	: 	: 	: 	: 	: 	: 	: 	: 	13.4 	13.8 	11.3 	9.1 
PC_GDP,PL	-6.1 	-5.2 	-4.0 	-3.6 	-1.9 	-3.6 	-7.3 	-7.6 	-4.9 	-3.7 	-4.0 	-3.2 
PC_GDP,PT	-4.4 	-6.2 	-6.2 	-4.3 	-3.0 	-3.8 	-9.8 	-11.2 	-7.4 	-5.6 	-4.8 	-4.5 
PC_GDP,RO	-1.5 	-1.2 	-1.2 	-2.2 	-2.9 	-5.6 	-8.9 	-6.6 	-5.3 	-2.9 	-2.2 	-1.5 
PC_GDP,SE	-1.3 	0.3 	1.8 	2.2 	3.3 	2.0 	-0.7 	0.0 	-0.1 	-0.9 	-1.4 	-1.9 
PC_GDP,SI	-2.6 	-2.0 	-1.3 	-1.2 	-0.1 	-1.4 	-5.9 	-5.6 	-6.6 	-4.0 	-14.9 	-4.9 
PC_GDP,SK	-2.7 	-2.3 	-2.9 	-3.6 	-1.9 	-2.4 	-7.9 	-7.5 	-4.1 	-4.2 	-2.6 	-2.9 
PC_GDP,UK	-3.4 	-3.6 	-3.5 	-2.9 	-3.0 	-5.1 	-10.8 	-9.7 	-7.6 	-8.3 	-5.7 	-5.7 
