"","group","tk-avrg","exam","tk-exam-avg","final"
"1",41,NA,NA,NA,NA
"2",41,1.8,2,NA,NA
"3",41,0.75,1.4,NA,NA
"4",41,0,2,NA,NA
"5",41,1.05,2.6,NA,NA
"6",41,2.45,NA,NA,NA
"7",41,NA,NA,NA,6
"8",41,2.15,1.2,NA,NA
"9",41,NA,NA,NA,NA
"10",41,0,1.4,NA,NA
"11",102,NA,2.4,NA,NA
"12",41,1.2,2.4,NA,NA
"13",41,NA,NA,NA,NA
"14",41,2.7,1.8,NA,NA
"15",41,NA,NA,NA,NA
"16",41,2.25,1.2,NA,NA
"17",41,2.8,2.2,NA,NA
"18",41,1.05,1.8,NA,NA
"19",41,NA,NA,NA,NA
"20",41,0,0.8,NA,NA
"21",41,1.7,2.4,NA,NA
"22",41,1.5,2.8,NA,NA
"23",102,NA,1.8,NA,NA
"24",41,1.6,1.4,NA,NA
"25",41,1.65,1,NA,NA
"26",41,NA,NA,NA,NA
"27",59,NA,NA,NA,NA
"28",59,3.1,2,NA,NA
"29",59,0.9,NA,NA,NA
"30",59,NA,NA,NA,NA
"31",59,NA,NA,NA,NA
"32",59,NA,NA,NA,NA
"33",59,NA,NA,NA,NA
"34",59,NA,NA,NA,NA
"35",59,NA,NA,NA,NA
"36",59,NA,NA,NA,NA
"37",59,1.3,1.8,NA,NA
"38",59,2.25,1.2,NA,NA
"39",59,0.75,1.2,NA,NA
"40",59,NA,NA,NA,NA
"41",42,NA,NA,NA,NA
"42",42,NA,NA,NA,NA
"43",42,NA,NA,NA,NA
"44",42,2.7,2.6,NA,NA
"45",42,NA,NA,NA,NA
"46",42,2.1,2.8,NA,NA
"47",42,3.45,2,NA,NA
"48",42,NA,NA,NA,NA
"49",42,0,1.8,NA,NA
"50",42,NA,NA,NA,NA
"51",42,NA,NA,NA,NA
"52",42,0.75,1.2,NA,NA
"53",42,3.65,2.6,NA,NA
"54",42,NA,NA,NA,NA
"55",42,0.95,2.4,NA,NA
"56",42,0.7,NA,NA,NA
"57",42,1.15,2.4,NA,NA
"58",42,1.5,1.2,NA,NA
"59",42,NA,NA,NA,NA
"60",42,NA,NA,NA,NA
"61",42,NA,NA,NA,NA
"62",61,2.65,2.4,NA,NA
"63",61,2.85,1.8,NA,NA
"64",61,1.6,1.6,NA,NA
"65",61,1.95,1.6,NA,NA
"66",61,2.8,2.4,NA,NA
"67",61,1.3,1.6,NA,NA
"68",61,1.5,1.6,NA,NA
"69",61,1.95,2.6,NA,NA
"70",61,0.9,1.6,NA,NA
"71",61,1.2,2.4,NA,NA
"72",61,NA,NA,NA,NA
"73",61,NA,NA,NA,NA
"74",61,0.6,2,NA,NA
"75",61,1.3,0.8,NA,NA
"76",61,NA,NA,NA,NA
"77",61,0.7,NA,NA,NA
"78",61,2.5,1,NA,NA
"79",61,NA,NA,NA,NA
"80",100,NA,0.8,NA,NA
"81",100,NA,2.8,NA,NA
"82",100,NA,1.8,NA,NA
"83",100,NA,1.6,NA,NA
"84",100,NA,1.6,NA,NA
"85",100,NA,2.8,NA,NA
"86",100,NA,1.6,NA,NA
"87",100,NA,2.2,NA,NA
"88",100,NA,1.8,NA,NA
"89",100,NA,2.2,NA,NA
"90",100,NA,0.4,NA,NA
"91",100,NA,1.8,NA,NA
"92",100,NA,1.4,NA,NA
"93",101,NA,2,NA,NA
"94",101,NA,1.4,NA,NA
"95",101,NA,1.2,NA,NA
