"region","grupa","koef_zaetost","godina"
"Общо","obshto",64,"2008"
"Северозападен","obshto",59.3,"2008"
"Видин","obshto",54.8,"2008"
"Враца","obshto",57.5,"2008"
"Ловеч","obshto",64.8,"2008"
"Монтана","obshto",58.2,"2008"
"Плевен","obshto",59.8,"2008"
"Северен централен","obshto",58.6,"2008"
"Велико Търново","obshto",58.3,"2008"
"Габрово","obshto",69.4,"2008"
"Разград","obshto",49.7,"2008"
"Русе","obshto",60.5,"2008"
"Силистра","obshto",54.6,"2008"
"Североизточен","obshto",62,"2008"
"Варна","obshto",66.8,"2008"
"Добрич","obshto",62,"2008"
"Търговище","obshto",53.4,"2008"
"Шумен","obshto",56.5,"2008"
"Югоизточен","obshto",62.3,"2008"
"Бургас","obshto",61.7,"2008"
"Сливен","obshto",59.6,"2008"
"Стара Загора","obshto",64,"2008"
"Ямбол","obshto",64.1,"2008"
"Югозападен","obshto",71,"2008"
"Благоевград","obshto",69.4,"2008"
"Кюстендил","obshto",63.8,"2008"
"Перник","obshto",63.5,"2008"
"София","obshto",66.1,"2008"
"София (столица)","obshto",73.9,"2008"
"Южен централен","obshto",62.4,"2008"
"Кърджали","obshto",52.9,"2008"
"Пазарджик","obshto",63.1,"2008"
"Пловдив","obshto",63.5,"2008"
"Смолян","obshto",64.9,"2008"
"Хасково","obshto",63.4,"2008"
"Общо","myzhe",68.5,"2008"
"Северозападен","myzhe",62.1,"2008"
"Видин","myzhe",58.1,"2008"
"Враца","myzhe",59.7,"2008"
"Ловеч","myzhe",69,"2008"
"Монтана","myzhe",59.1,"2008"
"Плевен","myzhe",63.1,"2008"
"Северен централен","myzhe",63.4,"2008"
"Велико Търново","myzhe",63.1,"2008"
"Габрово","myzhe",73.5,"2008"
"Разград","myzhe",55.8,"2008"
"Русе","myzhe",63.4,"2008"
"Силистра","myzhe",61.9,"2008"
"Североизточен","myzhe",69.2,"2008"
"Варна","myzhe",74.7,"2008"
"Добрич","myzhe",71.2,"2008"
"Търговище","myzhe",57.8,"2008"
"Шумен","myzhe",61.6,"2008"
"Югоизточен","myzhe",68.5,"2008"
"Бургас","myzhe",67.8,"2008"
"Сливен","myzhe",66.5,"2008"
"Стара Загора","myzhe",69.6,"2008"
"Ямбол","myzhe",70.5,"2008"
"Югозападен","myzhe",74.5,"2008"
"Благоевград","myzhe",71.8,"2008"
"Кюстендил","myzhe",63.1,"2008"
