"region","godina","godishna_zaplata"
"Видин","2000",2342
"Враца","2000",3236
"Ловеч","2000",2408
"Монтана","2000",2157
"Плевен","2000",2422
"Северен централен район","2000",2394
"Велико Търново","2000",2378
"Габрово","2000",2540
"Разград","2000",2309
"Русе","2000",2443
"Силистра","2000",2152
"Североизточен район","2000",2575
"Варна","2000",2796
"Добрич","2000",2512
"Търговище","2000",2224
"Шумен","2000",2273
"Югоизточен район","2000",2813
"Бургас","2000",3065
"Сливен","2000",2203
"Стара Загора","2000",2954
"Ямбол","2000",2200
"Югозападен район","2000",2999
"Благоевград","2000",2289
"Кюстендил","2000",2595
"Перник","2000",2598
"София","2000",2638
"София (столица)","2000",3245
"Южен централен район","2000",2399
"Кърджали","2000",2338
"Пазарджик","2000",2363
"Пловдив","2000",2506
"Смолян","2000",2059
"Хасково","2000",2358
"Видин","2001",2484
"Враца","2001",3507
"Ловеч","2001",2532
"Монтана","2001",2337
"Плевен","2001",2552
"Северен централен район","2001",2522
"Велико Търново","2001",2488
"Габрово","2001",2668
"Разград","2001",2532
"Русе","2001",2533
"Силистра","2001",2312
"Североизточен район","2001",2712
"Варна","2001",2977
"Добрич","2001",2522
"Търговище","2001",2393
"Шумен","2001",2400
"Югоизточен район","2001",2968
"Бургас","2001",3206
"Сливен","2001",2372
"Стара Загора","2001",3137
"Ямбол","2001",2308
"Югозападен район","2001",3258
"Благоевград","2001",2407
"Кюстендил","2001",2680
"Перник","2001",2611
"София","2001",2798
"София (столица)","2001",3570
"Южен централен район","2001",2529
"Кърджали","2001",2520
"Пазарджик","2001",2501
"Пловдив","2001",2611
"Смолян","2001",2303
"Хасково","2001",2458
"Видин","2002",2678
"Враца","2002",3560
"Ловеч","2002",2787
"Монтана","2002",2555
"Плевен","2002",2745
"Северен централен район","2002",2749
"Велико Търново","2002",2731
"Габрово","2002",2908
"Разград","2002",2768
"Русе","2002",2727
"Силистра","2002",2562
"Североизточен район","2002",2880
"Варна","2002",3088
"Добрич","2002",2727
"Търговище","2002",2623
"Шумен","2002",2628
"Югоизточен район","2002",3130
"Бургас","2002",3279
"Сливен","2002",2572
"Стара Загора","2002",3351
"Ямбол","2002",2525
"Югозападен район","2002",3532
"Благоевград","2002",2490
"Кюстендил","2002",2909
"Перник","2002",2879
"София","2002",3062
"София (столица)","2002",3888
"Южен централен район","2002",2684
"Кърджали","2002",2687
"Пазарджик","2002",2709
"Пловдив","2002",2747
"Смолян","2002",2472
"Хасково","2002",2593
"Видин","2003",2722
"Враца","2003",3552
"Ловеч","2003",3000
"Монтана","2003",2716
"Плевен","2003",2921
"Северен централен район","2003",2897
"Велико Търново","2003",2871
"Габрово","2003",3110
"Разград","2003",2832
"Русе","2003",2889
"Силистра","2003",2703
"Североизточен район","2003",3072
"Варна","2003",3324
"Добрич","2003",2939
"Търговище","2003",2650
"Шумен","2003",2775
"Югоизточен район","2003",3302
"Бургас","2003",3502
"Сливен","2003",2749
"Стара Загора","2003",3493
"Ямбол","2003",2641
"Югозападен район","2003",3812
"Благоевград","2003",2671
"Кюстендил","2003",3082
"Перник","2003",3059
"София","2003",3143
"София (столица)","2003",4237
"Южен централен район","2003",2818
"Кърджали","2003",2798
"Пазарджик","2003",2786
"Пловдив","2003",2908
"Смолян","2003",2634
"Хасково","2003",2685
"Видин","2004",2865
"Враца","2004",3705
"Ловеч","2004",3190
"Монтана","2004",2894
"Плевен","2004",3102
"Северен централен район","2004",3061
"Велико Търново","2004",3061
"Габрово","2004",3270
"Разград","2004",2905
"Русе","2004",3057
"Силистра","2004",2907
"Североизточен район","2004",3264
"Варна","2004",3534
"Добрич","2004",3106
"Търговище","2004",2813
"Шумен","2004",2944
"Югоизточен район","2004",3478
"Бургас","2004",3636
"Сливен","2004",2912
"Стара Загора","2004",3693
"Ямбол","2004",2885
"Югозападен район","2004",4150
"Благоевград","2004",2910
"Кюстендил","2004",3135
"Перник","2004",3265
"София","2004",3398
"София (столица)","2004",4641
"Южен централен район","2004",3005
